id,condition,treatment,claim,phrasing_type,category,expected_verdict,actual_verdict,actual_explanation,actual_citations,actual_confidence,match,hallucinated_citations,notes
11,MDD,Cognitive Behavioral Therapy,Cognitive behavioral therapy is an effective treatment for major depressive disorder.,exact-term,well-supported,Supported,Supported,"Multiple lines of evidence, including systematic reviews, health technology assessments, and clinical guidelines, support the claim that Cognitive Behavioral Therapy (CBT) is an effective treatment for major depressive disorder (MDD). Studies demonstrate that CBT increases response and recovery rates, reduces relapse/recurrence, and significantly diminishes depressive symptoms compared to usual care. CBT is recommended as a first-line psychological treatment for both acute and maintenance phases of MDD. Furthermore, specific forms like unguided internet-based CBT have shown effectiveness in reducing depressive symptoms and enhancing functioning with sustained benefits in adult populations. CBT for insomnia (CBT-I) has also been found to significantly improve depressive symptoms in individuals with MDD comorbid with insomnia. The benefits of CBT are also noted when combined with pharmacotherapy for improving cognitive function in MDD.",42341343; 29213344; 27486150; 38853783; 39242039; 41864347; 42036587; 26857948,High,True,,Baseline control claim using exact search term
12,MDD,SSRI,Fluoxetine is effective for reducing symptoms of major depressive disorder.,semantic,well-supported,Supported,Supported,"Multiple lines of evidence confirm that fluoxetine is effective for reducing symptoms of major depressive disorder. A 1993 meta-analysis found fluoxetine, among other agents, to be effective compared with placebo for major depression (PMID: 8428898). A more recent network meta-analysis from 2024 reported that fluoxetine had small- to medium-sized effects in symptom improvement over placebo for major depression (PMID: 38856993). Additionally, reviews acknowledge selective serotonin reuptake inhibitors (SSRIs), including fluoxetine, as effective first-line treatments for depression and a cornerstone of therapy, with consistent evidence for efficacy in acute treatment of major depressive disorder (PMID: 22372025, PMID: 42066210).",8428898; 38856993; 22372025; 42066210,High,True,,Uses specific drug name instead of drug class
13,MDD,Electroconvulsive Therapy,Electroconvulsive therapy is more effective than other treatments for severe depression.,semantic,well-supported,Supported with caveat,Supported,"Electroconvulsive therapy (ECT) is identified as the most effective treatment for severe and treatment-resistant depression. The evidence also describes ECT as the ""gold standard treatment"" for treatment-resistant depression. Furthermore, a systematic review and meta-analysis found ECT to significantly reduce the odds of suicide and all-cause mortality in refractory depression, demonstrating a moderate effect size for reducing suicidal ideation while repetitive transcranial magnetic stimulation (rTMS) showed no significant effect on this outcome. While some studies comparing ECT to magnetic seizure therapy (MST) found comparable overall response and remission rates, one sensitivity analysis slightly favored ECT for depression score changes. Another review noted that ECT might be associated with longer remission than ketamine for treatment-resistant depression, although direct comparative studies were lacking for this specific outcome.",42339150; 41988667; 41323432; 42389389,High,False,,Genericized condition (depression vs major depressive disorder); source specifies severe MDD specifically - tests condition genericization plus scope surfacing
14,MDD,Transcranial Magnetic Stimulation,rTMS is effective for treatment-resistant major depressive disorder.,semantic,supported-conditional,Supported with caveat,Supported,"Multiple sources of evidence, including systematic reviews and randomized controlled trials, support the efficacy of repetitive transcranial magnetic stimulation (rTMS) for treatment-resistant major depressive disorder (TRD). Specifically, one abstract states directly that ""Repetitive transcranial magnetic stimulation (rTMS) is effective for TRD"" (PMID: 42341943). Another systematic review and network meta-analysis found that in the TRD subgroup, theta burst stimulation (TBS), a form of rTMS, demonstrated significantly superior efficacy to sham stimulation for both response and remission (PMID: 42383744). Additionally, rTMS is recognized as a treatment option for MDD patients who have not adequately responded to antidepressant therapy, which defines TRD (PMID: 42261501, PMID: 42164210, PMID: 40131590). A randomized clinical trial also found that individualized, connectivity-based targeting of accelerated transcranial magnetic stimulation (aTMS), a type of rTMS, enhanced antidepressant effects in participants with treatment-resistant depression (PMID: 42340706).",42341943; 42383744; 42261501; 42340706; 42164210; 40131590,High,False,,Uses rTMS acronym instead of full transcranial magnetic stimulation term - tests acronym plus precondition surfacing
15,MDD,Esketamine,Spravato is effective for treatment-resistant major depressive disorder.,semantic,supported-conditional,Supported with caveat,Supported,"Esketamine (Spravato) nasal spray is effective for treatment-resistant major depressive disorder (TRD). Evidence indicates that it has been approved as an antidepressant, with some sources stating its approval as the first and only monotherapy for adults with TRD. Other studies highlight its efficacy when administered as an adjunct to antidepressant pharmacotherapy, such as selective serotonin or serotonin norepinephrine reuptake inhibitors (SSRI/SNRI), demonstrating significant long-term clinical and functional benefits for patients with TRD. While it was initially approved as an adjunct, more recent approvals in specific regions (e.g., United States as of January 2025) also include its use as monotherapy for TRD. Studies and reviews consistently report rapid onset of action and clinically meaningful improvements in depressive symptoms.",41923438; 39435126; 42164210; 40131590; 42127940; 41765199; 42377806; 41968732,High,False,,Uses brand name Spravato for esketamine - tests brand-to-generic matching plus combination-requirement surfacing
16,MDD,Interpersonal Therapy,Interpersonal therapy is an effective treatment for major depressive disorder.,exact-term,supported-conditional,Supported,Supported,"Multiple studies and clinical guidelines indicate that Interpersonal Therapy (IPT) and Dynamic Interpersonal Therapy (DIT), a form of IPT, are effective treatments for Major Depressive Disorder (MDD). Evidence shows IPT is efficacious, with some studies demonstrating it yields better outcomes than Cognitive Behavioral Therapy (CBT) on certain parameters (PMID: 38853783). IPT has been found to be an appropriate and sufficient first-phase intervention for mild to moderate depression (PMID: 26432031). DIT has been shown to be superior to low-intensity treatment for moderate to severe depression (PMID: 31084635) and demonstrates durable, multidimensional benefits, outperforming CBT and pharmacotherapy in sustaining improvements in mood, sleep, and cognition (PMID: 41135204). Furthermore, reviews and guidelines classify IPT as an effective intervention for the acute phase of depression and as a first-line psychological treatment for acute MDD (PMID: 42036587, PMID: 27486150). DIT has also shown benefits when combined with antidepressant medication, yielding better outcomes than medication alone (PMID: 37016788, PMID: 40017493).",37016788; 38853783; 26432031; 40017493; 31084635; 41135204; 42036587; 27486150,High,True,,Exact term control claim
17,MDD,Antipsychotics,Antipsychotics are an effective standalone treatment for major depressive disorder.,semantic,adjunct-vs-standalone,Contradicted,Contradicted,"The retrieved evidence consistently indicates that antipsychotics are effective as an *adjunctive* or *augmentative* treatment for major depressive disorder (MDD), particularly in patients who have not responded adequately to conventional antidepressants or have treatment-resistant depression. Multiple abstracts refer to their use in combination with antidepressants, and none support the claim that antipsychotics are an effective *standalone* treatment for MDD. For example, PMID: 42090141 and PMID: 42283956 explicitly discuss atypical antipsychotics for the 'adjunctive treatment of MDD'. Similarly, PMID: 41883303 notes that SSRIs are 'typically augmented with AAPs', and PMID: 42367531 and PMID: 41572784 focus on the 'augmentative efficacy' of second-generation antipsychotics in treatment-resistant depression. PMID: 42066210, a guideline overview, also highlights atypical antipsychotics for 'adjunctive treatment'.",42090141; 42283956; 41883303; 42367531; 41572784; 42066210; 41852370,High,True,,Uses specific antipsychotic drug name instead of drug class - tests standalone framing with a named drug
18,MDD,Antipsychotics,Aripiprazole can enhance antidepressant treatment for major depressive disorder.,semantic,adjunct-vs-standalone,Supported,Supported,"Multiple systematic reviews and network meta-analyses demonstrate that aripiprazole, used as an adjunctive treatment to antidepressants, can enhance treatment efficacy for adults with major depressive disorder. Studies specifically highlight its benefits in cases of inadequate antidepressant response or treatment-resistant depression. For instance, a systematic review and network meta-analysis of FDA-approved atypical antipsychotics found aripiprazole to have a significant effect size for efficacy (RR, 1.53; 95% CrI, 1.32-1.77) when used as an adjunctive treatment for MDD. Another systematic review on augmentative efficacy for treatment-resistant depression noted that aripiprazole-sertraline combination showed consistent improvements. Similarly, a network meta-analysis comparing various atypical antipsychotics concluded that all active treatments, including aripiprazole, were favored over placebo+ADT based on improvements in MADRS scores and other efficacy endpoints.",42090141; 42367531; 42283956,High,True,,"Same drug name as claim 17, adjunct framing instead - tests whether system distinguishes standalone vs adjunct for the same specific drug"
19,MDD,Mindfulness-Based Intervention,Mindfulness is effective as a standalone treatment for major depressive disorder.,semantic,contested,TBD - test against corpus,Supported with caveat,"Mindfulness-based interventions (MBIs), including Mindfulness-Based Cognitive Therapy (MBCT), have demonstrated effectiveness as a standalone treatment for certain aspects of major depressive disorder (MDD). Evidence suggests MBIs are effective in treating major depression and lowering symptom levels in acute depressive episodes, with one randomized controlled trial comparing an MBI to a psychopharmacological consultation condition for patients with acute depression (PMID 30022567, 26553106). Furthermore, MBCT is considered a first-line psychological treatment for the prevention of relapse in recurrent major depression (PMID 31383703, 27486150). However, clinical guidelines indicate that for the treatment of *acute* MDD, other psychological interventions like Cognitive-Behavioral Therapy (CBT), Interpersonal Therapy (IPT), and Behavioral Activation (BA) are recommended as first-line, and combining psychological treatment with antidepressant treatment is superior to either treatment alone (PMID 27486150). Therefore, while effective for relapse prevention and showing promise for acute symptoms, mindfulness may not be a first-line standalone psychological treatment for acute major depressive episodes.",30022567; 26553106; 31383703; 27486150,High,N/A - TBD expected,,"Uses mindfulness rather than exact ingestion term, consistent with claim 8 - tests semantic retrieval"
20,MDD,St John's Wort,St John's Wort is a safe and effective treatment for major depressive disorder.,exact-term,contested,TBD - test against corpus,Supported with caveat,"St. John's Wort (SJW) is supported as an effective treatment for mild to moderate major depressive disorder (MDD), demonstrating superiority to placebo and comparable efficacy to conventional antidepressants. Evidence suggests it has fewer adverse events compared to antidepressants and is comparable to placebo. However, there is a lack of research or support for its efficacy in severe MDD. The safety assessments regarding adverse events have been noted as limited, with studies often not designed to detect rare events or reliably assess risks like suicidality. Crucially, SJW is known to be prone to many important drug-drug interactions, which is a significant safety consideration.",27589952; 21053786; 28083422; 21438644; 21673208; 23291009; 22592504; 31383703,High,N/A - TBD expected,,Common name already natural phrasing; GAD source flagged real interaction and safety risks with SSRIs
21,MDD,SSRI vs SNRI,Sertraline and venlafaxine are similarly effective for treating major depressive disorder.,semantic,comparative,Supported,Contradicted,"Evidence suggests that sertraline and venlafaxine are not similarly effective for treating major depressive disorder, at least in older adults. A nationwide cohort study comparing commonly used antidepressants in older adults found that venlafaxine users had a significantly higher risk of discontinuation, switching, augmentation, cardiovascular events, and mortality compared to sertraline users. Overall, venlafaxine users had more adverse outcomes than sertraline users in this population, indicating sertraline had better clinical outcomes than venlafaxine.",37849303,High,False,,Uses specific drug names instead of class names - tests whether system connects both drugs to their respective classes and compares correctly
22,MDD,Tricyclic Antidepressants,Amitriptyline is less safe but similarly effective to SSRIs for major depressive disorder.,semantic,comparative,Supported with caveat,Supported with caveat,"The evidence suggests that tricyclic antidepressants (TCAs), including amitriptyline, are similarly effective to selective serotonin reuptake inhibitors (SSRIs) for major depressive disorder (MDD). One observational study found the efficacy of SSRIs to be equivalent to that of TCAs, with no significant differences in scores on scales like CGI-S, CGI-I, and MADRS. Additionally, an earlier meta-analysis noted no statistically significant difference in efficacy between imipramine (a TCA) and fluoxetine (an SSRI) compared to placebo.

Regarding safety, the evidence indicates that amitriptyline may be less safe, specifically in older adults with MDD. A nationwide cohort study in Denmark found that older adults initiating amitriptyline had a significantly higher risk of discontinuation and switching compared to those initiating sertraline (an SSRI). While TCAs generally show an increased risk of serious adverse events compared to placebo, the direct comparative evidence for amitriptyline being less safe than SSRIs in the general MDD population is primarily inferred from tolerability measures (discontinuation and switching) in a specific older adult population.",41522586; 8428898; 37849303; 39093721,Medium,True,,Uses specific TCA drug name instead of class name; tests safety versus efficacy distinction with a named drug
23,MDD,Light Therapy,Bright light therapy is equally effective as ECT for severe treatment-resistant depression.,semantic,overstated,Insufficient evidence,Insufficient evidence,"The provided evidence discusses the efficacy of bright light therapy (BLT) and chronotherapy for various forms of depression, including nonseasonal major depressive disorder, bipolar depression, and perinatal depression, and in some cases, for drug-resistant or ECT-resistant cases. However, none of the abstracts provide a direct comparison of the efficacy of bright light therapy to electroconvulsive therapy (ECT) specifically for severe treatment-resistant depression, nor do they claim that BLT is equally effective as ECT. One abstract mentions light therapy for ""electroconvulsive therapy-resistant cases"" (PMID: 17964200), which implies its use when ECT has not been effective, rather than as an equally effective alternative.",,High,True,,Uses common variant phrasing plus ECT acronym; tests false-equivalence detection
24,MDD,Vagus Nerve Stimulation,VNS is a first-line treatment for major depressive disorder.,semantic,overstated,Supported with caveat,Supported with caveat,"The evidence suggests that Vagus Nerve Stimulation (VNS) is effective for treatment-resistant or difficult-to-treat major depressive disorder (MDD) and can improve symptoms, quality of life, and psychosocial function in this population. However, it is not presented as a first-line treatment. Some evidence specifically addresses transcutaneous auricular VNS (taVNS) as a promising alternative that *could* become a first-line option in the future with further research. The primary evidence for implanted VNS relates to patients who have not responded to other treatments, and one study indicates it is an adjunctive therapy. Thus, while effective for a subset of MDD patients, it is not supported as a universal first-line treatment based on the provided abstracts.",41884079; 39706521; 41529263; 39701918; 40127770; 41890420; 39335439; 42036585,High,True,,"Uses acronym; source states this is for treatment-resistant cases only, not first-line"
25,MDD,Acupuncture,Acupuncture is an effective treatment for major depressive disorder.,exact-term,out-of-corpus,Insufficient evidence,Supported with caveat,"Acupuncture has demonstrated limited efficacy in the treatment of major depressive disorder, with some evidence suggesting it may be ineffective. However, other reviews indicate that acupuncture, alongside other non-medication based therapies, has evidence in the treatment of depression, potentially as an add-on adjunct. The overall quality of evidence for acupuncture in treating depression is often described as low or insufficient due to methodological limitations in studies.",21673208; 34521233; 28700248; 31383703,Medium,False,,No acupuncture search term in corpus - tests hallucination resistance
26,MDD,MAOI,Phenelzine is an effective treatment for major depressive disorder.,semantic,second-line,Supported with caveat,Supported with caveat,"The evidence suggests that phenelzine, a monoamine oxidase inhibitor (MAOI), has a role in treating melancholic depression and treatment-resistant depression. It was effective in melancholic depression when it was first used, and current re-evaluations suggest it remains effective for this subtype. Data also suggest MAOIs, including phenelzine, may be beneficial for treatment-resistant depression, particularly in earlier stages, though efficacy in advanced stages remains uncertain. The evidence also highlights that the use of MAOIs like phenelzine is limited by safety concerns such as dietary and drug interactions, and that newer formulations like the selegiline transdermal system (STS) have been developed to mitigate these risks. Some studies focus on combination therapy with MAOIs for treatment-resistant depression, indicating potential utility under close supervision, but this is not a standalone efficacy claim for phenelzine. One study specifically notes that selegiline (an MAOI) is effective in MDD and does not require dietary restrictions at certain doses, contrasting with the limitations of orally administered MAOIs like phenelzine. Therefore, while phenelzine shows efficacy, it is primarily in specific subtypes of depression or treatment-resistant cases, and its use is associated with significant safety considerations and interactions that are not present with newer MAOI formulations.",37601082; 16213594; 25884531; 19300583; 12473970; 30105472,High,True,,Uses specific MAOI drug name instead of class name; source notes MAOIs are less commonly used due to side-effect and lethality profile - tests whether this caveat surfaces
27,MDD,Atypical Antidepressants,Bupropion is an effective treatment for major depressive disorder.,semantic,second-line,Supported,Supported with caveat,"Bupropion has demonstrated efficacy compared to placebo in the treatment of major depressive disorder. However, one abstract suggests bupropion has a lack of efficacy in treating anxiety, which is a common comorbidity in MDD. Another abstract indicates that bupropion may be less effective for male sexual dysfunction compared to females when used as an adjunct to rTMS. Additionally, the evidence for bupropion's effectiveness as a standalone treatment is not as robustly presented as its effectiveness in combination therapies or as a part of broader treatment guidelines, which include other classes of antidepressants as first-line options. One meta-analysis included bupropion alongside other atypical antidepressants and imipramine, finding all to be effective compared to placebo without statistically significant differences between them. Another review lists 21 antidepressant medications, including bupropion, as having small- to medium-sized effects over placebo.",8428898; 38856993; 42284801; 26857948; 21609510,Medium,False,,Uses specific drug name instead of atypical antidepressants class term - previously untested search term
29,MDD,CBT-I,Cognitive behavioral therapy for insomnia improves depression symptoms in patients with major depressive disorder.,semantic,second-line,Supported,Supported with caveat,"Multiple studies indicate that Cognitive Behavioral Therapy for Insomnia (CBT-I) is effective in improving depressive symptoms in individuals with Major Depressive Disorder (MDD) and comorbid insomnia. Specifically, CBT-I has shown significant effects on depressive symptoms beyond the sleep domain [39242039, 29898793]. Some evidence suggests that improvement in depressive symptoms is mediated by improved sleep [29898793, 27788313]. However, it is noted that CBT-I may not be more effective than other treatments for depression when used in combination with other depression treatments [38286128], and its treatment effects may not be additive with those of antidepressant medications [29455893]. Furthermore, while CBT-I shows promise as a standalone treatment for depression in some cases, particularly when antidepressant medications are not ideal [29455893], the evidence also suggests that all groups, including those receiving only antidepressant medication with a sleep hygiene control, showed improvement in depression symptoms [28199710]. Some research suggests that treatment-resistant depression can predict reduced insomnia severity with CBT-I [37839317].",39242039; 29898793; 27788313; 38286128; 29455893; 28199710; 37839317,High,False,,Spells out CBT-I in full rather than using the acronym search term - previously untested search term; tests full-term-to-acronym matching in reverse direction
30,MDD,Sleep Deprivation Therapy,"Deliberately staying awake overnight can produce rapid, short-term improvement in depression symptoms.",semantic,contested,TBD - test against corpus,Supported with caveat,"The evidence indicates that sleep deprivation can produce rapid, short-term improvement in depression symptoms. However, these effects are generally short-lived, and relapse can occur after recovery sleep. Furthermore, sleep deprivation is often studied and found most effective when combined with other treatments like light therapy or antidepressant medication, rather than as a standalone treatment. There is also a risk of inducing mania in patients with bipolar disorder.",39614605; 18930473; 19576267; 15967511; 8682976,High,N/A - TBD expected,,Describes sleep deprivation therapy in plain language without naming it - tests strong semantic matching on a described mechanism rather than a term; previously untested search term
31,MDD,SSRI,Fluoxitine is effective for reducing symptoms of major depressive disorder.,misspelling,well-supported,Supported,Supported,"Multiple abstracts indicate that fluoxetine is an effective treatment for major depressive disorder. One meta-analysis showed that fluoxetine was effective compared to placebo [8428898]. Another review stated that fluoxetine had small- to medium-sized effects in symptom improvement over placebo [38856993]. Furthermore, fluoxetine is mentioned as a cornerstone of therapy for depression since its FDA approval and that no substantial differences in efficacy have been found among SSRIs [22372025]. Another study compared Hypericum perforatum (St. John's wort) to sertraline and fluoxetine and found associations between remission and early improvement in certain symptoms depending on the intervention, suggesting fluoxetine's efficacy [21278577]. SSRIs, including fluoxetine, are also noted for their consistent evidence across efficacy and tolerability outcomes in acute treatment and for relapse prevention [42066210].",8428898; 38856993; 22372025; 21278577; 42066210,High,True,,"Deliberate misspelling of fluoxetine - tests whether embedding-based retrieval is robust to typos, unlike exact-keyword search which would likely fail here"
32,GAD,Chemotherapy,Chemotherapy is effective treatment for generalized anxiety disorder.,exact-term,unrelated-treatment,Insufficient evidence,Insufficient evidence,"The provided evidence discusses various pharmacological and psychological treatments for generalized anxiety disorder (GAD), including antidepressants, benzodiazepines, buspirone, and cognitive behavioral therapy. However, none of the abstracts mention or evaluate chemotherapy as a treatment for GAD. Therefore, the evidence is insufficient to support or refute the claim.",,High,True,,"Real, specific treatment wit hno legitimate connection to GAD. Tests whether the system correctly finds no support rather than inventing a connection from accidental corpus noise."
33,MDD,Insulin,Insulin is an effective treatment for major depressive disorder.,exact-term,unrelated-treatment,Insufficient evidence,Insufficient evidence,"The provided abstracts discuss insulin resistance in relation to major depressive disorder (MDD) and the effects of certain antidepressants on insulin sensitivity. However, none of the abstracts evaluate or support the claim that insulin itself is an effective treatment for MDD.",,High,True,,"Real, specific treatment with no legitimate conneciton to MDD. (diabetes-depression comorbidity research exists, but insulin itself treating depression does not) tests the same failure as claim 32."
