id,condition,treatment,claim,phrasing_type,expected_verdict,actual_verdict,actual_findings,actual_caveat,actual_clinical_notes,actual_confidence,match,actual_citations,hallucinated_citations,notes
11,MDD,Cognitive Behavioral Therapy,Cognitive behavioral therapy is an effective treatment for major depressive disorder.,exact-term,Supported,Supported,"Cognitive behavioral therapy (CBT) is an effective psychological intervention for major depressive disorder (MDD). [29213344, 27486150, 42036587, 26857948] | CBT has been shown to increase response and recovery rates in patients with MDD compared to usual care. [29213344] | CBT can also decrease relapse and recurrence of MDD. [29213344, 27486150] | Internet-based CBT (ICBT) has demonstrated effectiveness in reducing depressive symptoms and enhancing functioning in adults with MDD, with sustained benefits over 12 months. [42341343] | CBT is considered a first-line psychological treatment for acute MDD and a first-line treatment for maintenance. [27486150] | CBT can be effective in all stages of unipolar major depression, reducing acute, prodromal, and residual symptoms, and preventing relapse. [42036587] | CBT combined with pharmacotherapy may offer improvements in verbal memory compared to pharmacotherapy alone in patients with MDD. [41864347] | Cognitive behavioral therapy for insomnia (CBT-I) has shown significant effects on depressive symptoms in individuals with MDD and comorbid insomnia, beyond the sleep domain. [39242039] | Both CBT and Interpersonal Therapy (IPT) are efficacious for MDD, with one study indicating IPT yielded better results on the MADRS scale compared to CBT in their sample. [38853783]","One study found that while both CBT and IPT are efficacious for MDD, IPT yielded better results on the MADRS scale compared to CBT in the present study.","The evidence suggests that CBT is an effective treatment for MDD, with various forms showing efficacy. Recommendations exist for CBT as a first-line treatment. The choice between CBT and other therapies like IPT, or combining CBT with pharmacotherapy, may depend on individual patient characteristics and preferences. CBT-I is specifically highlighted for MDD with comorbid insomnia. The American College of Physicians recommends clinicians discuss treatment effects, adverse effects, cost, accessibility, and preferences when selecting between CBT and second-generation antidepressants.",High,True,39242039; 41864347; 26857948; 29213344; 27486150; 42341343; 38853783; 42036587,,Baseline control claim using exact search term
12,MDD,SSRI,Fluoxetine is effective for reducing symptoms of major depressive disorder.,semantic,Supported,Supported,"Fluoxetine has demonstrated efficacy in treating major depressive disorder when compared to placebo, with effect sizes comparable to other antidepressants like imipramine, trazodone, and bupropion. It is also noted to have a small- to medium-sized effect in symptom improvement over placebo. [8428898, 38856993] | Selective serotonin reuptake inhibitors (SSRIs), including fluoxetine, are considered a cornerstone of therapy for depression since its FDA approval in 1987. No substantial differences in efficacy among SSRIs have been found. [22372025] | Fluoxetine, as part of the SSRI class, is listed as an effective first-line treatment for depression, alongside psychotherapy and other antidepressant medications. [38856993, 21609510, 22372025] | In a comparison study, fluoxetine showed efficacy against placebo, and its effectiveness was analyzed in relation to early changes in anxiety/somatization symptoms as predictors of remission. [21278577]",,"While fluoxetine is presented as effective, evidence suggests that psychotherapy combined with antidepressant medication may be preferred for more severe or chronic depression. When initial antidepressant medication is not effective, strategies such as changing antidepressant medication, adding a second antidepressant, or augmenting with a nonantidepressant medication have approximately equal likelihood of success. Collaborative care programs with systematic follow-up also improve treatment effectiveness. Fluoxetine is an SSRI, and common side effects of this class include nausea, diarrhea, insomnia, somnolence, dizziness, akathisia, and sexual dysfunction, with sexual dysfunction potentially being a long-term side effect. Evidence also indicates that SSRIs are used for preventing relapse of major depressive disorder.",High,True,38856993; 21278577; 22372025; 21609510; 8428898,,Uses specific drug name instead of drug class
13,MDD,Electroconvulsive Therapy,Electroconvulsive therapy is more effective than other treatments for severe depression.,semantic,Supported with caveat,Supported with caveat,"Electroconvulsive therapy (ECT) is identified as one of the treatments known to improve symptoms in severe depression, alongside prescription antidepressants. [21609510] | ECT has demonstrated effectiveness in refractory depression, showing a significant decrease in the odds of suicide and death from all causes. It also showed a moderate effect size in reducing suicidal ideation. [41323432] | In a comparison between ECT and magnetic seizure therapy (MST), while both showed comparable response and remission rates, sensitivity analysis suggested potential superiority of ECT for depression score change. However, MST was found to have better cognitive safety and tolerability. [42389389] | Research cohorts using ECT showed comparable effectiveness to real-world cohorts once patient selection criteria were accounted for, suggesting ECT is effective in both settings. [42214190] | ECT treatment was associated with significant alterations in mitochondrial energy metabolism, suggesting a biological mechanism for its effectiveness. [42339150] | Early improvement in depression scores during ECT treatment has predictive value for final treatment response and remission. [42115852] | While ECT is considered highly effective, it is associated with cognitive side effects. [42389389] | Compared to ketamine for treatment-resistant depression, ECT may be associated with longer remission, although more research is needed for a direct comparison of relapse times. [41988667]","While ECT is effective for severe depression, direct comparisons with other treatments like Magnetic Seizure Therapy (MST) indicate that MST may offer better cognitive safety and tolerability, despite comparable response rates. One study suggested potential superiority of ECT for depression score changes, but this finding requires cautious interpretation. Evidence also suggests that ECT may be associated with longer remission compared to ketamine for treatment-resistant depression, but more research is needed for direct comparison of time-to-relapse.","The evidence primarily focuses on severe and treatment-resistant depression. Some studies mention the potential for cognitive side effects associated with ECT, which is a factor in comparing it to newer treatments like MST.",High,True,41323432; 42389389; 21609510; 42115852; 42339150; 41988667; 42214190,,"Genericized condition (depression vs major depressive disorder); ncbi states it is the most effective treatment for MDD. Legitimate caveat. The claim itself is comparative (""more effective than other treatments""), and the evidence shows MST is comparable/potentially superior on some measures. Since the claim's own wording invites comparison, this isn't tangential — it's directly testing the claim as stated. Correctly caveated."
14,MDD,Transcranial Magnetic Stimulation,rTMS is effective for treatment-resistant major depressive disorder.,semantic,Supported,Supported with caveat,"Repetitive transcranial magnetic stimulation (rTMS) is an effective treatment for major depressive disorder (MDD) and is recommended as a treatment option for MDD by several psychiatric organizations. [40131590, 42429717] | rTMS is effective for treatment-resistant depression (TRD), which is defined as the failure to achieve remission after at least two adequately conducted antidepressant trials. [42341943, 40131590] | Evidence supports the use of rTMS in patients with MDD who have not responded adequately to antidepressant therapy, although response rates remain modest, approximately 29% for high-frequency protocols in controlled trials. [42261501] | Specific rTMS modalities such as accelerated rTMS (aTMS), theta burst stimulation (TBS), bilateral (BL-) rTMS, high-frequency left (HFL-) rTMS, and low-frequency right (LFR-) rTMS demonstrated significantly greater efficacy than sham control for major depressive disorder. [42383744] | In a treatment-resistant depression (TRD) subgroup, TBS demonstrated the highest probability of response and remission, with efficacy significantly superior to sham stimulation. [42383744] | Patients with high baseline depression severity and suicidal ideation are at the greatest risk for nonresponse to rTMS and may benefit from early consideration of alternative interventions. [42341943] | Individualized, connectivity-based targeting of the convergent depression circuit enhanced the antidepressant effects of high-dose accelerated TMS (aTMS) in patients with moderate to severe treatment-resistant depression. [42340706] | A brief, one-day course of rectangular pulse rTMS may produce meaningful and sustained reductions in clinical depressive symptoms, with high response and remission rates observed in a pilot trial. [42429717] | The MDD group demonstrated a significantly higher response rate to high-frequency left-DLPFC rTMS compared to the bipolar depressive disorder (BD) group in a naturalistic sample. [42400378]","While rTMS is supported for treatment-resistant major depressive disorder, response rates can be modest, and there is no reliable method to predict which patients will benefit. Some studies indicate specific subgroups (e.g., those with high baseline depression severity and suicidal ideation) may be at higher risk for nonresponse. The evidence for rTMS efficacy is primarily based on studies involving adults with unipolar major depressive disorder; its efficacy in bipolar depression appears lower compared to unipolar depression. Furthermore, the evidence often comes from studies with varying levels of risk of bias, and high-quality head-to-head trials are needed to confirm the probabilistic rankings of different rTMS modalities.","rTMS is considered a non-invasive alternative for patients who do not achieve remission with standard pharmacological treatments. Various rTMS modalities exist, including theta burst stimulation (TBS) and accelerated rTMS (aTMS), with some showing comparable or superior efficacy to conventional protocols. The durability of response after an acute course of rTMS and how to sustain response over time are still open questions. Neuroimaging biomarkers show promise but are not yet in routine clinical use for predicting treatment response. Emerging therapies and personalized approaches are crucial for optimizing outcomes in treatment-resistant depression.",Medium,False,40131590; 42261501; 42341943; 42429717; 42400378; 42383744; 42340706,,Uses rTMS acronym instead of full transcranial magnetic stimulation term - tests acronym plus precondition surfacing
15,MDD,Esketamine,Spravato is effective for major depressive disorder.,semantic,Supported with caveat,Supported with caveat,"Esketamine, when used as an adjunct to antidepressant pharmacotherapy for treatment-resistant depression (TRD) or for rapid symptom reduction in psychiatric emergency situations, has shown significant clinical benefit over real-world treatments in patients with TRD. [42127940, 39435126] | Intranasal esketamine, in combination with an antidepressant, has demonstrated a significant improvement in Montgomery-Åsberg Depression Rating Scale (MADRS) scores within 24 hours for adults with TRD. [41968732] | Esketamine treatment has been associated with sustained reductions in suicidal ideation and all-cause mortality over a 2-year period in adults with MDD, without an increased risk of major adverse cardiovascular events (MACEs) after the initial treatment phase. [41963307] | In patients with TRD, esketamine nasal spray showed a significant functional benefit compared to real-world treatments after 6 months, as assessed by the Sheehan Disability Scale (SDS). [39435126] | Most patients treated with esketamine nasal spray for TRD showed continuously improved outcomes up to 32 weeks, with early response correlating with better long-term outcomes. [42298878] | Ketamine and esketamine, as atypical (glutamatergic/NMDA) psychedelics, have demonstrated a fast onset of action and a long-lasting antidepressant effect in major depression and TRD. [42036582] | Esketamine is approved as an adjunct to antidepressant pharmacotherapy for TRD and for rapid symptom reduction in psychiatric emergencies in patients with major depression. In the US, it is also approved as a monotherapy for TRD. [42127940] | Esketamine is associated with a higher incidence of adverse events, including elevated blood pressure and dissociation. [41968732] | Methodological limitations in studies, such as functional unblinding due to characteristic side effects, make it challenging to establish definitive causal relationships, particularly when investigating augmented psychotherapy. [42127940, 42036582] | The efficacy and effectiveness of IV and IN ketamine have demonstrated mixed-to-positive antidepressant effects in a limited-to-moderate number of studies. [41765199]","The evidence primarily focuses on treatment-resistant depression (TRD) and the use of esketamine as an adjunct to other antidepressant treatments, rather than as a standalone treatment for all cases of major depressive disorder. Some studies note limitations such as short follow-up periods, heterogeneity in dosing, potential for dissociation and elevated blood pressure as adverse events, and methodological challenges in research design that can impact generalizability.","Esketamine is an NMDA receptor antagonist. It is approved for treatment-resistant depression and for rapid symptom reduction in psychiatric emergency situations. The evidence discusses potential links between early dissociative symptoms and therapeutic response, but notes this connection is not sufficiently proven. The efficacy of ketamine-augmented psychotherapy is difficult to scientifically investigate due to considerable methodological limitations of psychotherapy studies. Standard treatments like antidepressants and psychotherapies have shown mixed results in improving social functioning in MDD.",Medium,True,41963307; 41968732; 42127940; 42298878; 41765199; 42036582; 39435126,,Uses brand name Spravato for esketamine - tests brand-to-generic - used to be strictly used in conjuction wiht other medicaitons but recently it is a supported standalone treatment.- used to treat treatment resistant depression (hence the caveat)
16,MDD,Interpersonal Therapy,Interpersonal therapy is an effective treatment for major depressive disorder.,exact-term,Supported,Supported,"Interpersonal therapy (IPT) and dynamic interpersonal therapy (DIT) have demonstrated efficacy in treating major depressive disorder (MDD). [37016788, 38853783, 26432031, 40017493, 31084635, 41135204, 42036587, 27486150] | Studies show that IPT and DIT are effective in reducing depressive symptoms, with some research indicating they may be superior to antidepressant medication alone or comparable to cognitive behavioral therapy (CBT). [37016788, 38853783, 40017493, 31084635, 41135204, 42036587] | DIT has shown durable, multidimensional benefits in treating MDD, including sustained reductions in depressive symptoms, sleep disturbances, and improvements in cognitive functioning, potentially outperforming CBT and pharmacotherapy in long-term outcomes. [41135204] | IPT has been identified as a first-line psychological treatment for acute MDD, and both IPT and CBT have been shown to be effective in promoting enduring experiences of positive mental health as maintenance treatment. [42036587, 27486150] | Interpersonal counselling (IPC), a shorter form of interpersonal therapy, also proved effective in treating mild to moderate depression in a pilot study. [26432031]","While IPT and DIT are shown to be effective, some studies indicate that combining psychological treatment (CBT or IPT) with antidepressant treatment is superior to either treatment alone for acute MDD. DIT's long-term benefits in symptom improvement should be viewed with caution in one study.","The evidence suggests that IPT and DIT are effective treatments for MDD, with some studies comparing their efficacy to CBT and pharmacotherapy. The choice of psychotherapeutic treatment for MDD should consider patient preferences, specific clinical conditions (e.g., comorbidity, lifetime use of drugs, longitudinal development of the disorder), and clinician/system capacity.",High,True,31084635; 26432031; 40017493; 41135204; 27486150; 37016788; 38853783; 42036587,,Exact term control claim
17,MDD,Antipsychotics,Antipsychotics are an effective standalone treatment for major depressive disorder.,semantic,Insufficient evidence,Supported with caveat,"Atypical antipsychotics have demonstrated efficacy as an adjunctive treatment for major depressive disorder (MDD) in multiple studies, with some agents showing statistically significant improvements compared to placebo. [42090141, 42283956, 42066210, 41572784, 41852370] | Several atypical antipsychotics (aripiprazole, brexpiprazole, cariprazine, lumateperone, quetiapine XR) have received FDA approval for adjunctive treatment of MDD. [42090141, 42283956] | Lumateperone showed the highest effect size for efficacy in adjunctive treatment of MDD, and also ranked first for weight-related safety outcomes, with no weight gain relative to placebo. [42090141, 42283956] | The evidence consistently describes atypical antipsychotics as adjunctive therapies, rather than standalone treatments for MDD. [42090141, 41883303, 42367531, 41572784, 42066210, 41852370] | Some studies suggest a potential antidepressant action of atypical antipsychotics, particularly for patients with the melancholic subtype of depression, but emphasize the need for controlled studies to confirm this role. [11551279] | Atypical antipsychotic augmentation is a commonly used treatment strategy for treatment-resistant depression (TRD). [42367531, 41572784, 42066210] | Concerns exist regarding the lack of adequate and well-controlled studies documenting the maintenance efficacy of adjunctive atypical antipsychotics in MDD. [42090141]","The evidence exclusively supports the use of antipsychotics as an adjunctive treatment for major depressive disorder, not as a standalone treatment. Some evidence also suggests a potential role in specific subtypes like melancholic depression, but calls for more controlled studies.","The provided evidence focuses on the use of atypical antipsychotics as augmentation therapy for major depressive disorder (MDD), particularly in cases of inadequate response to conventional antidepressants or treatment-resistant depression. There is no evidence presented that supports their use as a standalone treatment for MDD. The evidence also discusses various efficacy and safety profiles among different atypical antipsychotics when used adjunctively. Some abstracts mention that older antipsychotic drugs were established as having antidepressant activity and that atypical antipsychotics may have an antidepressant action for patients with the melancholic subtype, but stress the need for controlled studies to confirm this.",High,False,42367531; 41883303; 42066210; 41572784; 42283956; 41852370; 42090141; 11551279,,"Uses specific antipsychotic drug name instead of drug class - tests standalone framing with a named drug. All evidence is adjunctive/augmentation-only; nothing evaluates standalone use at all. Per rule 9, ""no evidence addressing the specific claim"" is textbook ""Insufficient evidence,"" not ""Contradicted"" (which requires affirmative disproof). Therefore, insufficient evidence is correct"
18,MDD,Antipsychotics,Aripiprazole can enhance antidepressant treatment for major depressive disorder.,semantic,Supported with caveat,Supported with caveat,"Aripiprazole, when used as an adjunctive treatment for major depressive disorder (MDD), showed a statistically significant efficacy compared to placebo, with a risk ratio of 1.53 (95% credible interval [CrI], 1.32-1.77). [42090141] | In a systematic review and network meta-analysis of short-term studies, aripiprazole was among the atypical antipsychotics that demonstrated efficacy in adjunctive treatment for MDD, ranked second for efficacy. [42090141] | Aripiprazole exhibited the highest acceptability among the studied atypical antipsychotics when used as adjunctive treatment for MDD, with a risk ratio of 1.16 (95% CrI, 0.89-1.50). [42090141] | Aripiprazole, specifically in combination with sertraline, showed consistent improvements in adult treatment-resistant depression (TRD), with remission rates reported in a systematic review. [42367531] | Co-administration of antipsychotics, including aripiprazole, with antidepressants is a common strategy for treating major depressive disorder (MDD) in China, particularly in drug-naïve patients with more severe symptoms. [41852370] | A network meta-analysis indicated that aripiprazole, along with other approved atypical antipsychotics, was favored over placebo + antidepressant therapy for improving depressive symptoms as measured by MADRS, though lumateperone showed the highest efficacy. [42283956] | Early case series and reviews suggest that atypical antipsychotic drugs, including aripiprazole, may have an antidepressant action and provide augmentation benefits, particularly for treatment-resistant melancholic depression, although controlled studies are required. [11551279]","The evidence primarily focuses on aripiprazole as an adjunctive treatment for major depressive disorder (MDD), often in the context of treatment resistance, rather than as a standalone antidepressant or for all presentations of MDD. The evidence also highlights that this augmentation strategy is particularly common in China.","The evidence consistently points to the use of atypical antipsychotics, including aripiprazole, as adjunctive treatments for MDD, especially when conventional antidepressants are insufficient. The studies focus on short-term efficacy and acceptability. One study notes a knowledge gap regarding the maintenance efficacy of adjunctive atypical antipsychotics in MDD. Another study mentions that while preclinical evidence supports brexpiprazole + antidepressant for MDD, aripiprazole's preclinical support is not explicitly detailed in that specific abstract. The evidence also indicates differences in safety profiles among atypical antipsychotics.",High,True,42367531; 42283956; 41852370; 42090141; 11551279,,"Same drug name as claim 17, adjunct framing instead - tests whether system distinguishes standalone vs adjunct for the same specific drug. Due to the artifacts noting that it is used specifically for treatment resistant depression the claim is accurately caveated."
19,MDD,Mindfulness-Based Intervention,Mindfulness is effective as a standalone treatment for major depressive disorder.,semantic,Supported with caveat,Supported with caveat,"Mindfulness-based cognitive therapy (MBCT) has shown efficacy in reducing relapse in recurrent depression and lowering symptom levels in acute depression. [26553106] | Moderate quality evidence suggests that mindfulness-based cognitive therapy (MBCT) was superior to standard antidepressant drug treatment for the prevention of depression relapse in patients with recurrent major depression. [31383703] | Mindfulness-based interventions (MBIs) are effective in treating major depression, with preliminary evidence from a randomized controlled trial showing that an 8-week MBI led to higher congruence between implicit and explicit negative mood after treatment compared to a psychopharmacological consultation condition. [30022567] | Mindfulness-based interventions (MBIs) have been used as an adjunctive treatment for depression, with some studies showing significant reductions in depressive symptoms within groups, though not always in comparison to control groups. [28841486] | Mindfulness-based focused attention training (MBAT) may buffer an increase in overall cortisol secretion over time in remitted depressed patients, but only in those showing marked improvements in negative affect and rumination. [31884318] | Mindfulness-based cognitive therapy (MBCT) is recommended as a first-line psychological treatment for maintenance in major depressive disorder. [27486150] | The Canadian Network for Mood and Anxiety Treatments (CANMAT) guidelines suggest that where feasible, combining psychological treatment (CBT or IPT) with antidepressant treatment is recommended because combined treatment is superior to either treatment alone for acute MDD. [27486150] | While mindfulness-based interventions (MBIs) have been studied for stress reduction in mild to moderate major depressive disorders, current research often focuses on their use as an addition to pharmacological treatment or in specific populations like those with chronic, treatment-resistant depression or remitted depression. [26553106, 36998625, 31884318]","Evidence suggests mindfulness-based interventions are effective for relapse prevention in recurrent depression and as a maintenance treatment. Some evidence indicates efficacy in acute depression, but it is often studied as an adjunct to pharmacotherapy or in specific populations (e.g., chronic, treatment-resistant, or remitted depression), and not always as a standalone treatment for acute major depressive disorder.","Several abstracts discuss the use of mindfulness-based interventions (MBIs) in conjunction with other treatments, such as pharmacotherapy or as part of a combination therapy for major depressive disorder (MDD). One abstract (30022567) notes that their RCT did not include an active psychological intervention control group and had a small sample size. Another abstract (28841486) on bipolar disorder, while showing within-group improvements, did not find significant benefits compared to control groups in a meta-analysis of MBIs as an adjunctive treatment. The study in 31383703 indicates that evidence for most complementary and alternative medicine (CAM) treatments, including some mindfulness approaches, for clinical depression is of low to very low quality due to methodological flaws.",Medium,True,31884318; 36998625; 27486150; 30022567; 28841486; 31383703; 26553106,,"Uses mindfulness rather than exact ingestion term, consistent with claim 8 - tests semantic retrieval - ncbi states mindfulness is effective for treating MDD example: https://pmc.ncbi.nlm.nih.gov/articles/PMC10743934/"
22,MDD,Tricyclic Antidepressants,Amitriptyline is safe and effective for major depressive disorder.,semantic,TBD - test against corpus,Supported with caveat,"Amitriptyline, as a representative of tricyclic antidepressants (TCAs), has demonstrated a beneficial effect in reducing depressive symptoms compared to placebo, with a mean difference of -3.77 HDRS-17 points. However, this evidence is based on a low to very low certainty of evidence and assessed outcomes only up to 12 weeks. [39093721] | Tricyclic antidepressants, including amitriptyline, have shown efficacy in improving symptoms of major depressive disorder. [39093721, 8378417, 21609510, 41522586] | Amitriptyline may increase the risk of serious adverse events compared to placebo, although the required information size was not reached for this outcome in one systematic review. [39093721] | The long-term effects of tricyclic antidepressants and their effects on quality of life are largely unknown. [39093721] | In elderly subjects with major depression, amitriptyline showed comparable therapeutic response to trazodone and mianserin but had a higher overall prevalence of anticholinergic and cardiovascular side effects. [2663151] | Combining amitriptyline with repeated late sleep deprivation showed a more favorable treatment course and a higher response rate compared to amitriptyline alone for major depressive episodes. [8682976, 9476749] | Amitriptyline has shown small- to medium-sized effects in symptom improvement over placebo. [38856993]","The evidence for the beneficial effects of amitriptyline (as a representative of TCAs) is of low to very low certainty and assessed only for short-term outcomes (up to 12 weeks). There is evidence suggesting an increased risk of serious adverse events, and long-term effects and effects on quality of life are unknown. In elderly populations, amitriptyline showed more side effects than some other antidepressants.","SSRIs are considered agents of first choice for patients with comorbidity and chronicity, adolescents and young adults, and the elderly. Psychotherapy combined with antidepressant medication may be preferred, especially for more severe or chronic depression. Collaborative care programs significantly improve treatment effectiveness. For patients with mild to moderate depression, there is no reliable evidence that any one treatment is superior. In severe depression, prescription antidepressants and electroconvulsive therapy are known to improve symptoms.",Medium,N/A - TBD expected,38856993; 39093721; 8682976; 8378417; 2663151; 21609510; 41522586; 9476749,,Uses specific TCA drug name instead of class name; tests safety versus efficacy distinction with a named drug
20,MDD,St John's Wort,St John's Wort is a safe and effective treatment for major depressive disorder.,exact-term,Supported with caveat,Supported with caveat,"St. John's Wort (SJW) is considered superior to placebo for improving depression symptoms and is comparable in effectiveness to conventional antidepressant medications for mild to moderate depression. [27589952, 21053786, 28083422, 21673208, 23291009, 31383703] | SJW is associated with fewer adverse events compared to antidepressant medications, and comparable adverse events to placebo. [27589952, 21053786, 28083422, 21673208, 23291009] | Evidence for the efficacy of SJW in severe depression is lacking. [21438644] | There is a lack of evidence for SJW when used as an adjunct therapy to standard antidepressant therapy. [28083422] | Studies have not been designed to reliably assess rare adverse events, including treatment-emergent suicidality, though current evidence does not suggest an increased risk. [21438644, 27589952, 28083422] | There is significant heterogeneity among studies, and a lack of research on severe depression, which reduces the quality of the evidence. The findings should be interpreted with caution due to poor reporting of adverse events in some studies. [27589952, 21053786, 28083422, 31383703] | Long-term maintenance of effect for SJW has not been convincingly demonstrated. [21438644]","St. John's Wort is not recommended for severe depression, nor has its efficacy as an adjunct therapy been established. The evidence is limited by heterogeneity and potential for publication bias, and long-term efficacy is not well-established. Safety assessments for rare adverse events are also limited.","St. John's Wort is prone to many important drug-drug interactions. While studies did not reveal evidence of treatment-emergent suicidality, the studies examined were not prospectively designed to detect such events. Some evidence suggests SJW may be safe to use during pregnancy and breastfeeding, but further study is warranted. The LI 160 extract (0.3% hypericin, 1-4% hyperforin) has the greatest number of studies. There is a lack of direct comparative clinical trial data comparing SJW to specific antidepressants like venlafaxine and limited data with sertraline.",Medium,True,31383703; 27589952; 28083422; 21053786; 21438644; 21673208; 23291009,,Common name already natural phrasing; GAD source flagged real interaction and safety risks with SSRIs - per 27589952 it is to be supported with caution.
21,MDD,SSRI vs SNRI,Sertraline and venlafaxine are similarly effective for treating major depressive disorder.,semantic,Insufficient evidence,Insufficient evidence,"The provided abstracts do not contain direct comparisons of sertraline and venlafaxine for the treatment of major depressive disorder (MDD). While venlafaxine is discussed as an effective treatment for MDD, and sertraline is mentioned as a reference drug in a study of older adults, their comparative efficacy is not assessed. [26895080, 38685594, 41725851, 42066210, 38379028, 37849303, 42478306, 24167687] | One study indicated that venlafaxine users had a significantly higher risk of discontinuation, switching, and augmentation compared to sertraline users in older adults, suggesting potential differences in real-world outcomes, but this is not a direct efficacy comparison for MDD treatment. [37849303] | Another study found that compared to sertraline, citalopram, fluoxetine, paroxetine, and escitalopram were associated with higher risk ratios of non-response, and venlafaxine outperformed duloxetine within the SNRI class, but sertraline was not directly compared to venlafaxine in this analysis. [38379028]",,"The evidence focuses on the efficacy of desvenlafaxine, venlafaxine, and sertraline individually or in relation to other antidepressants. Direct comparative data between sertraline and venlafaxine for treating major depressive disorder is absent in the provided abstracts.",Low,True,26895080; 38379028; 41725851; 24167687; 37849303; 38685594; 42478306; 42066210,,Uses specific drug names instead of class names - tests whether system connects both drugs to their respective classes and compares correctly. there isnt a study that directly compares the two medications. Insufficent evidence 
23,MDD,Light Therapy,Bright light therapy is equally effective as ECT for severe treatment-resistant depression.,semantic,Insufficient evidence,Insufficient evidence,"The provided evidence discusses bright light therapy (BLT) as a treatment for various forms of depression, including major depressive disorder, bipolar depression, and seasonal affective disorder. It is generally well-tolerated and can be used alone or with antidepressants. [17964200, 41628751, 41900968, 41887006, 42036581, 39614605, 39657294] | Some studies suggest BLT can be an effective adjunctive treatment or show promise for non-seasonal major depressive disorder and bipolar depression, sometimes including drug- and electroconvulsive therapy-resistant cases. [17964200, 41900968, 39614605] | Chronotherapy, which can include BLT combined with sleep deprivation and sleep phase advance, has shown to reduce depressive symptoms rapidly and shorten hospitalization in some cases. [41284534, 41887006, 42036581] | One study indicated that a portable BLT device improved sleep quality but did not significantly reduce depressive or anxiety symptoms, with limitations due to small sample size and group differences. [41628751] | The evidence does not directly compare the efficacy of bright light therapy to electroconvulsive therapy (ECT) for severe treatment-resistant depression. Therefore, a claim of equal effectiveness cannot be substantiated. []",,"The abstracts discuss bright light therapy as a potential treatment for various forms of depression, including cases resistant to other treatments. However, no abstract directly compares the efficacy of bright light therapy to electroconvulsive therapy (ECT) for severe treatment-resistant depression.",Low,True,42036581; 39657294; 41284534; 41628751; 17964200; 41887006; 41900968; 39614605,,Uses common variant phrasing plus ECT acronym; tests false-equivalence detection
24,MDD,Vagus Nerve Stimulation,VNS is a first-line treatment for major depressive disorder.,semantic,Contradicted,Insufficient evidence,"The provided evidence suggests that Vagus Nerve Stimulation (VNS) is effective for difficult-to-treat or treatment-resistant major depressive disorder (MDD), but not as a first-line treatment for MDD in general. Studies show benefits in patients with marked treatment resistance, often after multiple failed antidepressant trials. One abstract mentions that transcutaneous auricular VNS (taVNS) has the potential to become a robust, first-line therapeutic option for depression, but this is a future research direction and not a current established fact based on the provided evidence. The evidence does not support VNS as a first-line treatment. [41884079, 39706521, 41529263, 39701918, 41890420, 42036585, 42385861] | Evidence indicates that VNS is an adjunctive treatment for patients with marked treatment-resistant depression. Randomized controlled trials have demonstrated that VNS can lead to significant improvements in depressive symptoms, quality of life, and psychosocial function compared to sham VNS in this population. Studies also suggest durability of these benefits over time. [39706521, 41529263, 39701918, 40127770] | Transcutaneous auricular vagus nerve stimulation (taVNS) has shown promise and is being explored as a potential first-line option in the future. However, current evidence for taVNS is limited by methodological heterogeneity, small sample sizes, and lack of long-term data. Additionally, some studies on tVNS suggest effects are dependent on symptom severity, enhancing reward-effort efficiency in those with severe depressive symptoms. [41890420, 42385861]","The evidence specifically addresses Vagus Nerve Stimulation (VNS) as a treatment for difficult-to-treat or treatment-resistant Major Depressive Disorder (MDD), not for MDD in general as a first-line treatment. Some evidence suggests transcutaneous auricular VNS (taVNS) may have potential as a future first-line option, but this is not yet established.","VNS is an FDA-approved adjunctive treatment for marked treatment-resistant depression. Studies consistently show benefits for this specific population, including symptom improvement, enhanced quality of life, and psychosocial function. Some evidence suggests taVNS may enhance reward-effort efficiency in severe MDD, but this effect is dependent on symptom severity.",Medium,False,40127770; 39706521; 42036585; 42385861; 41884079; 39701918; 41529263; 41890420,,"Uses acronym; source states this is for treatment-resistant cases only, not first-line. the evidence says that it is a second-line treatment for MDD Since the claim is purely about VNS being a first-line treatment and not the efficacy of VNS in treating depression, the accurate verdict here is contradicted. "
